II	N	SB	SI	SKIP_W	NN	BB	I	PX	SKIP_X	B	PI	PW	tech	PY	SN	CLOCK	cap_load	fanout_load	in_0	in_1	Internal_Pwr	Switch_Pwr	Leak_Pwr	Total_Pwr	cycles	N	Area	Time
1	1	8	2	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00709	0.00472	1.15E-5	0.0118	366	200	135691.998297	0.6
1	2	8	2	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00683	0.00754	1.15E-5	0.0144	366	200	136771.919132	0.63
1	4	8	2	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00717	0.00732	1.17E-5	0.0145	366	200	138586.545973	0.79
1	8	8	2	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00745	0.00709	1.19E-5	0.0146	366	200	142034.813283	0.83
1	1	8	4	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00609	0.00406	1.19E-5	0.0102	206	200	140932.842445	0.78
1	2	8	4	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00698	0.00478	1.21E-5	0.0118	206	200	143795.990918	0.86
1	4	8	4	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00696	0.00611	1.24E-5	0.0131	206	200	147716.481043	1.06
1	8	8	4	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00703	0.00542	1.3E-5	0.0125	206	200	155624.140486	1.36
1	1	8	8	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00642	0.00453	1.29E-5	0.011	126	200	153153.834783	0.97
1	2	8	8	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00676	0.00382	1.33E-5	0.0106	126	200	159342.12337	1.08
1	4	8	8	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00687	0.00405	1.42E-5	0.0109	126	200	169540.33692	1.59
1	8	8	8	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00796	0.00418	1.55E-5	0.0122	126	200	185626.253395	1.82
1	1	8	16	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00676	0.00171	1.54E-5	0.00848	86	200	184331.300907	1.06
1	2	8	16	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00765	0.00223	1.64E-5	0.0099	86	200	197665.20091	1.57
1	4	8	16	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00847	0.00252	1.81E-5	0.011	86	200	217940.441176	2.05
1	8	8	16	1	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00953	0.00307	2.02E-5	0.0126	86	200	245598.90362	3.33
1	1	8	2	0	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00783	0.00524	1.19E-5	0.0131	366	200	140073.598046	0.63
1	2	8	2	0	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00803	0.00757	1.2E-5	0.0156	366	200	142662.268128	0.7
1	4	8	2	0	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00831	0.00729	1.24E-5	0.0156	366	200	147504.095477	0.87
1	8	8	2	0	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00861	0.0077	1.31E-5	0.0163	366	200	157047.512181	0.91
1	1	8	4	0	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00793	0.00609	1.26E-5	0.014	206	200	148560.731507	0.82
1	2	8	4	0	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00856	0.00648	1.3E-5	0.0151	206	200	154136.735668	0.99
1	4	8	4	0	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.00837	0.00574	1.38E-5	0.0141	206	200	164872.61642	1.09
1	8	8	4	0	8	8	1	8	1	1	16	8	tsmc40	8	8	1	1.0	0.1	5,12,3,8,233,1	12,3,49,1,233,88	0.0095	0.00635	1.55E-5	0.0159	206	200	186497.8459	1.36
